,Event_Name,Check_Event,NPC_Name,Required_Events,Required_Events_Or_1,Required_Events_Or_2,Required_Events_And_1,Required_Events_And_2,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Completed
143,shrine_offering_ld9_void_end,TRUE,shrine_offering_ld9_void,shrine_offering_ld9_void_end,,,,,Event:Shrine_LD9Void#Event_Action=Enable_Camera,Set:shrine_offering_ld9_void_loop,Set_Narrator:narrator shrine_ld9_void,Event:NarratorShrine_ld9void#Event_Action=Cue_Narrator_Dialogue,,,,
144,shrine_ld9ewa,TRUE,shrine_offering_ld9_void,shrine_ld9ewa,,,shrine_offering_ld9_water_activate,shrine_offering_ld9_wind_activate,Event:shrine_ld9ewafv1,,,,,,,
145,shrine_ld9fv,TRUE,shrine_offering_ld9_void,shrine_ld9fv,,,,shrine_offering_ld9_void_activate,Event:shrine_ld9ewafv2,,,,,,,
146,shrine_ld9ewafv1,TRUE,shrine_offering_ld9_void,shrine_ld9ewafv1,,,,shrine_ld9ewafv2,Event:shrine_ld9ewafv3,,,,,,,
147,shrine_ld9ewafv3,TRUE,shrine_offering_ld9_void,shrine_ld9ewafv3,,,,,Set_Narrator:narrator shrine_ld9,Event:NarratorShrine_ld9#Event_Action=Cue_Narrator_Dialogue,Add_Level:primary_element,,,,,
148,shrine_offering_ld10_cue,TRUE,shrine_offering_ld10,shrine_offering_ld10_cue,,,,,Unprompted_Dialogue:1,,,,,,,
149,shrine_offering_ld10_activate,TRUE,shrine_offering_ld10,shrine_offering_ld10_activate,,,,,Event:shrine_cue_ld10B,,,,,,,
150,shrine_offering_ld10_end,TRUE,shrine_offering_ld10,shrine_offering_ld10_end,,,,,Event:Shrine_LD10#Event_Action=Enable_Camera,Set:shrine_offering_ld10_loop,Set_Narrator:narrator shrine_ld10,Event:NarratorShrine_ld10#Event_Action=Cue_Narrator_Dialogue,Add_Level:defense_strength,,,
151,shrine_offering_rt11_cue,TRUE,shrine_offering_rt11,shrine_offering_rt11_cue,,,,,Unprompted_Dialogue:1,,,,,,,
152,shrine_offering_rt11_activate,TRUE,shrine_offering_rt11,shrine_offering_rt11_activate,,,,,Event:shrine_cue_rt11B,,,,,,,
153,shrine_offering_rt11_end,TRUE,shrine_offering_rt11,shrine_offering_rt11_end,,,,,Event:Shrine_RT11#Event_Action=Enable_Camera,Set:shrine_offering_rt11_loop,Set_Narrator:narrator shrine_rt11,Event:NarratorShrine_rt11#Event_Action=Cue_Narrator_Dialogue,Add_Level:block_strength,,,
154,shrine_offering_rt12_cue,TRUE,shrine_offering_rt12,shrine_offering_rt12_cue,,,,,Unprompted_Dialogue:1,,,,,,,
155,shrine_offering_rt12_activate,TRUE,shrine_offering_rt12,shrine_offering_rt12_activate,,,,,Event:shrine_cue_rt12B,,,,,,,
156,shrine_offering_rt12_end,TRUE,shrine_offering_rt12,shrine_offering_rt12_end,,,,,Event:Shrine_RT12#Event_Action=Enable_Camera,Set:shrine_offering_rt12_loop,Set_Narrator:narrator shrine_rt12,Event:NarratorShrine_rt12#Event_Action=Cue_Narrator_Dialogue,Add_Level:evade_speed,,,
157,shrine_offering_mt13_cue,TRUE,shrine_offering_mt13,shrine_offering_mt13_cue,,,,,Unprompted_Dialogue:1,,,,,,,
158,shrine_offering_mt13_activate,TRUE,shrine_offering_mt13,shrine_offering_mt13_activate,,,,,Event:shrine_cue_mt13B,,,,,,,
159,shrine_offering_mt13_end,TRUE,shrine_offering_mt13,shrine_offering_mt13_end,,,,,Event:Shrine_MT13#Event_Action=Enable_Camera,Set:shrine_offering_mt13_loop,Set_Narrator:narrator shrine_mt13,Event:NarratorShrine_mt13#Event_Action=Cue_Narrator_Dialogue,Add_Level:run_speed,,,
160,shrine_offering_mt14_cue,TRUE,shrine_offering_mt14,shrine_offering_mt14_cue,,,,,Unprompted_Dialogue:1,,,,,,,
161,shrine_offering_mt14_activate,TRUE,shrine_offering_mt14,shrine_offering_mt14_activate,,,,,Event:shrine_cue_mt14B,,,,,,,
162,shrine_offering_mt14_end,TRUE,shrine_offering_mt14,shrine_offering_mt14_end,,,,,Event:Shrine_MT14#Event_Action=Enable_Camera,Set:shrine_offering_mt14_loop,Set_Narrator:narrator shrine_mt14,Event:NarratorShrine_mt14#Event_Action=Cue_Narrator_Dialogue,Add_Level:chi,,,
163,shrine_offering_pt15_cue,TRUE,shrine_offering_pt15,shrine_offering_pt15_cue,,,,,Unprompted_Dialogue:1,,,,,,,
164,shrine_offering_pt15_activate,TRUE,shrine_offering_pt15,shrine_offering_pt15_activate,,,,,Event:shrine_cue_pt15B,,,,,,,
165,shrine_offering_pt15_end,TRUE,shrine_offering_pt15,shrine_offering_pt15_end,,,,,Event:Shrine_PT15#Event_Action=Enable_Camera,Set:shrine_offering_pt15_loop,Set_Narrator:narrator shrine_pt15,Event:NarratorShrine_pt15#Event_Action=Cue_Narrator_Dialogue,Add_Level:attack_strength,,,
166,shrine_offering_pt16_cue,TRUE,shrine_offering_pt16,shrine_offering_pt16_cue,,,,,Unprompted_Dialogue:1,,,,,,,
167,shrine_offering_pt16_activate,TRUE,shrine_offering_pt16,shrine_offering_pt16_activate,,,,,Event:shrine_cue_pt16B,,,,,,,
168,shrine_offering_pt16_end,TRUE,shrine_offering_pt16,shrine_offering_pt16_end,,,,,Event:Shrine_PT16#Event_Action=Enable_Camera,Set:shrine_offering_pt16_loop,Set_Narrator:narrator shrine_pt16,Event:NarratorShrine_pt16#Event_Action=Cue_Narrator_Dialogue,,,,
169,shrine_offering_rn17_cue,TRUE,shrine_offering_rn17,shrine_offering_rn17_cue,,,,,Unprompted_Dialogue:1,,,,,,,
170,shrine_offering_rn17_activate,TRUE,shrine_offering_rn17,shrine_offering_rn17_activate,,,,,Event:shrine_cue_rn17B,,,,,,,
171,shrine_offering_rn17_end,TRUE,shrine_offering_rn17,shrine_offering_rn17_end,,,,,Event:Shrine_RN17#Event_Action=Enable_Camera,Set:shrine_offering_rn17_loop,Set_Narrator:narrator shrine_rn17,Event:NarratorShrine_rn17#Event_Action=Cue_Narrator_Dialogue,Add_Level:void_skill,,,
172,shrine_offering_rn18_cue,TRUE,shrine_offering_rn18,shrine_offering_rn18_cue,,,,,Unprompted_Dialogue:1,,,,,,,
173,shrine_offering_rn18_activate,TRUE,shrine_offering_rn18,shrine_offering_rn18_activate,,,,,Event:shrine_cue_rn18B,,,,,,,
174,shrine_offering_rn18_end,TRUE,shrine_offering_rn18,shrine_offering_rn18_end,,,,,Event:Shrine_RN18#Event_Action=Enable_Camera,Set:shrine_offering_rn18_loop,Set_Narrator:narrator shrine_rn18,Event:NarratorShrine_rn18#Event_Action=Cue_Narrator_Dialogue,,,,
175,shrine_offering_ltA_cue,TRUE,shrine_offering_ltA,shrine_offering_ltA_cue,,,,,Unprompted_Dialogue:1,Event:maze_finishA,,,,,,
176,shrine_offering_ltA_activate,TRUE,shrine_offering_ltA,shrine_offering_ltA_activate,,,,,Event:shrine_cue_ltAB,Event:maze_finishA,,,,,,
177,shrine_offering_ltA_end,TRUE,shrine_offering_ltA,shrine_offering_ltA_end,,,,,Event:Shrine_LTA#Event_Action=Enable_Camera,Set:shrine_offering_ltA_loop,Set_Narrator:narrator shrine_ltA,Event:NarratorShrine_ltA#Event_Action=Cue_Narrator_Dialogue,Add_Level:close_range_level,,,
178,shrine_offering_ltC_cue,TRUE,shrine_offering_ltC,shrine_offering_ltC_cue,,,,,Unprompted_Dialogue:1,,,,,,,
179,shrine_offering_ltC_activate,TRUE,shrine_offering_ltC,shrine_offering_ltC_activate,,,,,Event:shrine_cue_ltCB,,,,,,,
180,shrine_offering_ltC_end,TRUE,shrine_offering_ltC,shrine_offering_ltC_end,,,,,Event:Shrine_LTC#Event_Action=Enable_Camera,Set:shrine_offering_ltC_loop,Set_Narrator:narrator shrine_ltC,Event:NarratorShrine_ltC#Event_Action=Cue_Narrator_Dialogue,Add_Level:far_range_level,,,
181,monster_defeated,TRUE,Little boy,monster_defeated,,,,,Set:After completing task,Event:monster_defeated1,,,,,,
182,monster_defeated1,TRUE,Tutorial,monster_defeated1,,,,,Set_Narrator:narrator defeat monster,Event:NarratorMonster#Event_Action=Cue_Narrator_Dialogue,,,,,,
183,After completing task,TRUE,Little boy,After completing task,,,,,Set:Before completing task,,,,,,,
184,Smokebomb kid 1,TRUE,Smokebomb kid,Smokebomb kid 1,,,,,Set:Smokebomb kid 2,Remove:Smokebomb kid 1,,,,,,
185,Smokebomb kid 2,TRUE,Smokebomb kid,Smokebomb kid 2,,,,,Set:Smokebomb kid 3,Remove:Smokebomb kid 2,,,,,,
186,Smokebomb kid 3,TRUE,Smokebomb kid,Smokebomb kid 3,,,,,Set:Smokebomb kid 4,Remove:Smokebomb kid 3,,,,,,
187,Smokebomb kid 4,TRUE,Smokebomb kid,Smokebomb kid 4,,,,,Set:Smokebomb kid 5,Remove:Smokebomb kid 4,,,,,,
188,Smokebomb kid 5,TRUE,Smokebomb kid,Smokebomb kid 5,,,,,Set:Smokebomb kid 6,Remove:Smokebomb kid 5,,,,,,
189,Smokebomb kid 6,TRUE,Smokebomb kid,Smokebomb kid 6,,,,,Set:Smokebomb kid 7,Remove:Smokebomb kid 6,,,,,,
190,Smokebomb kid 7,TRUE,Smokebomb kid,Smokebomb kid 7,,,,,Set:Smokebomb kid 8,Remove:Smokebomb kid 7,,,,,,
191,Smokebomb kid 8,TRUE,Smokebomb kid,Smokebomb kid 8,,,,,Set:Smokebomb kid 9,Remove:Smokebomb kid 8,,,,,,
192,Smokebomb kid 9,TRUE,Smokebomb kid,Smokebomb kid 9,,,,,Set:Smokebomb kid 1,Remove:Smokebomb kid 9,,,,,,
193,Barrel Man1,TRUE,barrelman_lt1,Barrel Man1,,,,,Set:Barrel Man2,Remove:Barrel Man1,,,,,,
194,Barrel Man2,TRUE,barrelman_lt1,Barrel Man2,,,,,Set:Barrel Man3,Remove:Barrel Man2,,,,,,
195,Barrel Man3,TRUE,barrelman_lt1,Barrel Man3,,,,,Set:Barrel Man4,Remove:Barrel Man3,,,,,,
196,Barrel Man4,TRUE,barrelman_lt1,Barrel Man4,,,,,Set:Barrel Man5,Remove:Barrel Man4,,,,,,
197,Barrel Man5,TRUE,barrelman_lt1,Barrel Man5,,,,,Set:Barrel Man6,Remove:Barrel Man5,,,,,,
198,Barrel Man6,TRUE,barrelman_lt1,Barrel Man6,,,,,Set:Barrel Man7,Remove:Barrel Man6,,,,,,
199,Barrel Man7,TRUE,barrelman_lt1,Barrel Man7,,,,,Set:Barrel Man8,Remove:Barrel Man7,,,,,,
200,Barrel Man8,TRUE,barrelman_lt1,Barrel Man8,,,,,Set:Barrel Man9,Remove:Barrel Man8,,,,,,
201,Barrel Man9,TRUE,barrelman_lt1,Barrel Man9,,,,,Set:Barrel Man10,Remove:Barrel Man9,,,,,,
202,Barrel Man10,TRUE,barrelman_lt1,Barrel Man10,,,,,Set:Barrel Man11,Remove:Barrel Man10,,,,,,
203,Barrel Man11,TRUE,barrelman_lt1,Barrel Man11,,,,,Set:Barrel Man12,Remove:Barrel Man11,,,,,,
204,Barrel Man12,TRUE,barrelman_lt1,Barrel Man12,,,,,Set:Barrel Man13,Remove:Barrel Man12,,,,,,
205,Barrel Man13,TRUE,barrelman_lt1,Barrel Man13,,,,,Set:Barrel Man14,Remove:Barrel Man13,,,,,,
206,Barrel Man14,TRUE,barrelman_lt1,Barrel Man14,,,,,Set:Barrel Man15,Remove:Barrel Man14,,,,,,
207,Barrel Man15,TRUE,barrelman_lt1,Barrel Man15,,,,,Set:Barrel Man16,Remove:Barrel Man15,,,,,,
208,Barrel Man16,TRUE,barrelman_lt1,Barrel Man16,,,,,Set:Barrel Man17,Remove:Barrel Man16,,,,,,
209,Barrel Man17,TRUE,barrelman_lt1,Barrel Man17,,,,,Set:Barrel Man18,Remove:Barrel Man17,,,,,,
210,Barrel Man18,TRUE,barrelman_lt1,Barrel Man18,,,,,Set:Barrel Man19,Remove:Barrel Man18,,,,,,
211,Barrel Man19,TRUE,barrelman_lt1,Barrel Man19,,,,,Set:Barrel Man20,Remove:Barrel Man19,,,,,,
212,Barrel Man20,TRUE,barrelman_lt1,Barrel Man20,,,,,Set:Barrel Man21,Remove:Barrel Man20,,,,,,
213,Barrel Man21,TRUE,barrelman_lt1,Barrel Man21,,,,,Set:Barrel Man22,Remove:Barrel Man21,,,,,,
214,Barrel Man22,TRUE,barrelman_lt1,Barrel Man22,,,,,Set:Barrel Man23,Remove:Barrel Man22,,,,,,
215,Barrel Man23,TRUE,barrelman_lt1,Barrel Man23,,,,,Set:Barrel Man24,Remove:Barrel Man23,,,,,,
216,Barrel Man24,TRUE,barrelman_lt1,Barrel Man24,,,,,Set:Barrel Man25,Remove:Barrel Man24,,,,,,
217,Barrel Man25,TRUE,barrelman_lt1,Barrel Man25,,,,,Set:Barrel Man26,Remove:Barrel Man25,,,,,,
218,Barrel Man26,TRUE,barrelman_lt1,Barrel Man26,,,,,Set:Barrel Man1,Remove:Barrel Man26,,,,,,
219,Paranoid Man 1,TRUE,Paranoid man,Paranoid Man 1,,,,,Set:Paranoid Man 2,Remove:Paranoid Man 1,,,,,,
220,Paranoid Man 2,TRUE,Paranoid man,Paranoid Man 2,,,,,Set:Paranoid Man 3,Remove:Paranoid Man 2,,,,,,
221,Paranoid Man 3,TRUE,Paranoid man,Paranoid Man 3,,,,,Set:Paranoid Man 4,Remove:Paranoid Man 3,,,,,,
222,Paranoid Man 4,TRUE,Paranoid man,Paranoid Man 4,,,,,Set:Paranoid Man 5,Remove:Paranoid Man 4,,,,,,
223,Paranoid Man 5,TRUE,Paranoid man,Paranoid Man 5,,,,,Set:Paranoid Man 6,Remove:Paranoid Man 5,,,,,,
224,Paranoid Man 6,TRUE,Paranoid man,Paranoid Man 6,,,,,Set:Paranoid Man 7,Remove:Paranoid Man 6,,,,,,
225,Paranoid Man 7,TRUE,Paranoid man,Paranoid Man 7,,,,,Set:Paranoid Man 8,Remove:Paranoid Man 7,,,,,,
226,Paranoid Man 8,TRUE,Paranoid man,Paranoid Man 8,,,,,Set:Paranoid Man 9,Remove:Paranoid Man 8,,,,,,
227,Paranoid Man 9,TRUE,Paranoid man,Paranoid Man 9,,,,,Set:Paranoid Man 10,Remove:Paranoid Man 9,,,,,,
228,Paranoid Man 10,TRUE,Paranoid man,Paranoid Man 10,,,,,Set:Paranoid Man 11,Remove:Paranoid Man 10,,,,,,
229,Paranoid Man 11,TRUE,Paranoid man,Paranoid Man 11,,,,,Set:Paranoid Man 12,Remove:Paranoid Man 11,,,,,,
230,Paranoid Man 12,TRUE,Paranoid man,Paranoid Man 12,,,,,Set:Paranoid Man 13,Remove:Paranoid Man 12,,,,,,
231,Paranoid Man 13,TRUE,Paranoid man,Paranoid Man 13,,,,,Set:Paranoid Man 14,Remove:Paranoid Man 13,,,,,,
232,Paranoid Man 14,TRUE,Paranoid man,Paranoid Man 14,,,,,Set:Paranoid Man 15,Remove:Paranoid Man 14,,,,,,
233,Paranoid Man 15,TRUE,Paranoid man,Paranoid Man 15,,,,,Set:Paranoid Man 16,Remove:Paranoid Man 15,,,,,,
234,Paranoid Man 16,TRUE,Paranoid man,Paranoid Man 16,,,,,Set:Paranoid Man 17,Remove:Paranoid Man 16,,,,,,
235,Paranoid Man 17,TRUE,Paranoid man,Paranoid Man 17,,,,,Set:Paranoid Man 18,Remove:Paranoid Man 17,,,,,,
236,Paranoid Man 18,TRUE,Paranoid man,Paranoid Man 18,,,,,Set:Paranoid Man 19,Remove:Paranoid Man 18,,,,,,
237,Paranoid Man 19,TRUE,Paranoid man,Paranoid Man 19,,,,,Set:Paranoid Man 1,Remove:Paranoid Man 19,,,,,,
238,entrance of the Mountain Town,TRUE,Gate guard,entrance of the Mountain Town,,,,,Set:gate guard loop 1,,,,,,,
239,gate guard loop 1,TRUE,Gate guard,gate guard loop 1,,,,,Set:gate guard loop 2,Remove:gate guard loop 1,,,,,,
240,gate guard loop 2,TRUE,Gate guard,gate guard loop 2,,,,,Set:gate guard loop 3,Remove:gate guard loop 2,,,,,,
241,gate guard loop 3,TRUE,Gate guard,gate guard loop 3,,,,,Set:gate guard loop 4,Remove:gate guard loop 3,,,,,,
242,gate guard loop 4,TRUE,Gate guard,gate guard loop 4,,,,,Set:gate guard loop 5,Remove:gate guard loop 4,,,,,,
243,gate guard loop 5,TRUE,Gate guard,gate guard loop 5,,,,,Set:gate guard loop 6,Remove:gate guard loop 5,,,,,,
244,gate guard loop 6,TRUE,Gate guard,gate guard loop 6,,,,,Set:gate guard loop 7,Remove:gate guard loop 6,,,,,,
245,gate guard loop 7,TRUE,Gate guard,gate guard loop 7,,,,,Set:gate guard loop 8,Remove:gate guard loop 7,,,,,,
246,gate guard loop 8,TRUE,Gate guard,gate guard loop 8,,,,,Set:gate guard loop 1,Remove:gate guard loop 8,,,,,,
247,Welcoming Guard,TRUE,Welcoming Guard,welcoming guard,,,,,Quest_Completed:quest visit mountain town 1,Event:visit all towns34,,,,,,
248,Shady guy 1,TRUE,Shady guy,Shady guy 1,,,,,Set:Shady guy 2,Remove:Shady guy 1,,,,,,
249,Shady guy 2,TRUE,Shady guy,Shady guy 2,,,,,Set:Shady guy 3,Remove:Shady guy 2,,,,,,
250,Shady guy 3,TRUE,Shady guy,Shady guy 3,,,,,Set:Shady guy 4,Remove:Shady guy 3,,,,,,
251,Shady guy 4,TRUE,Shady guy,Shady guy 4,,,,,Set:Shady guy 5,Remove:Shady guy 4,,,,,,
252,Shady guy 5,TRUE,Shady guy,Shady guy 5,,,,,Set:Shady guy 6,Remove:Shady guy 5,,,,,,
253,Shady guy 6,TRUE,Shady guy,Shady guy 6,,,,,Set:Shady guy 7,Remove:Shady guy 6,,,,,,
254,Shady guy 7,TRUE,Shady guy,Shady guy 7,,,,,Set:Shady guy 8,Remove:Shady guy 7,,,,,,
255,Shady guy 8,TRUE,Shady guy,Shady guy 8,,,,,Set:Shady guy 9,Remove:Shady guy 8,,,,,,
256,Shady guy 9,TRUE,Shady guy,Shady guy 9,,,,,Set:Shady guy 10,Remove:Shady guy 9,,,,,,
257,Shady guy 10,TRUE,Shady guy,Shady guy 10,,,,,Set:Shady guy 11,Remove:Shady guy 10,,,,,,
258,Shady guy 11,TRUE,Shady guy,Shady guy 11,,,,,Set:Shady guy 12,Remove:Shady guy 11,,,,,,
259,Shady guy 12,TRUE,Shady guy,Shady guy 12,,,,,Set:Shady guy 1,Remove:Shady guy 12,,,,,,
260,Spastic man 1,TRUE,Spastic man,Spastic man 1,,,,,Set:Spastic man 2,Remove:Spastic man 1,,,,,,
261,Spastic man 2,TRUE,Spastic man,Spastic man 2,,,,,Set:Spastic man 3,Remove:Spastic man 2,,,,,,
262,Spastic man 3,TRUE,Spastic man,Spastic man 3,,,,,Set:Spastic man 4,Remove:Spastic man 3,,,,,,
263,Spastic man 4,TRUE,Spastic man,Spastic man 4,,,,,Set:Spastic man 5,Remove:Spastic man 4,,,,,,
264,Spastic man 5,TRUE,Spastic man,Spastic man 5,,,,,Set:Spastic man 6,Remove:Spastic man 5,,,,,,
265,Spastic man 6,TRUE,Spastic man,Spastic man 6,,,,,Set:Spastic man 7,Remove:Spastic man 6,,,,,,
266,Spastic man 7,TRUE,Spastic man,Spastic man 7,,,,,Set:Spastic man 8,Remove:Spastic man 7,,,,,,
267,Spastic man 8,TRUE,Spastic man,Spastic man 8,,,,,Set:Spastic man 9,Remove:Spastic man 8,,,,,,
268,Spastic man 9,TRUE,Spastic man,Spastic man 9,,,,,Set:Spastic man 10,Remove:Spastic man 9,,,,,,
269,Spastic man 10,TRUE,Spastic man,Spastic man 10,,,,,Set:Spastic man 11,Remove:Spastic man 10,,,,,,
270,Spastic man 11,TRUE,Spastic man,Spastic man 11,,,,,Set:Spastic man 12,Remove:Spastic man 11,,,,,,
271,Spastic man 12,TRUE,Spastic man,Spastic man 12,,,,,Set:Spastic man 13,Remove:Spastic man 12,,,,,,
272,Spastic man 13,TRUE,Spastic man,Spastic man 13,,,,,Set:Spastic man 14,Remove:Spastic man 13,,,,,,
273,Spastic man 14,TRUE,Spastic man,Spastic man 14,,,,,Set:Spastic man 15,Remove:Spastic man 14,,,,,,
274,Spastic man 15,TRUE,Spastic man,Spastic man 15,,,,,Set:Spastic man 16,Remove:Spastic man 15,,,,,,
275,Spastic man 16,TRUE,Spastic man,Spastic man 16,,,,,Set:Spastic man 17,Remove:Spastic man 16,,,,,,
276,Spastic man 17,TRUE,Spastic man,Spastic man 17,,,,,Set:Spastic man 1,Remove:Spastic man 17,,,,,,
277,Old confused man 1,TRUE,Old confused man,Old confused man 1,,,,,Set:Old confused man 2,Remove:Old confused man 1,,,,,,
278,Old confused man 2,TRUE,Old confused man,Old confused man 2,,,,,Set:Old confused man 3,Remove:Old confused man 2,,,,,,
279,Old confused man 3,TRUE,Old confused man,Old confused man 3,,,,,Set:Old confused man 4,Remove:Old confused man 3,,,,,,
280,Old confused man 4,TRUE,Old confused man,Old confused man 4,,,,,Set:Old confused man 5,Remove:Old confused man 4,,,,,,
281,Old confused man 5,TRUE,Old confused man,Old confused man 5,,,,,Set:Old confused man 6,Remove:Old confused man 5,,,,,,
282,Old confused man 6,TRUE,Old confused man,Old confused man 6,,,,,Set:Old confused man 7,Remove:Old confused man 6,,,,,,
283,Old confused man 7,TRUE,Old confused man,Old confused man 7,,,,,Set:Old confused man 8,Remove:Old confused man 7,,,,,,
284,Old confused man 8,TRUE,Old confused man,Old confused man 8,,,,,Set:Old confused man 9,Remove:Old confused man 8,,,,,,
285,Old confused man 9,TRUE,Old confused man,Old confused man 9,,,,,Set:Old confused man 10,Remove:Old confused man 9,,,,,,
286,Old confused man 10,TRUE,Old confused man,Old confused man 10,,,,,Set:Old confused man 11,Remove:Old confused man 10,,,,,,
287,Old confused man 11,TRUE,Old confused man,Old confused man 11,,,,,Set:Old confused man 12,Remove:Old confused man 11,,,,,,
288,Old confused man 12,TRUE,Old confused man,Old confused man 12,,,,,Set:Old confused man 13,Remove:Old confused man 12,,,,,,
289,Old confused man 13,TRUE,Old confused man,Old confused man 13,,,,,Set:Old confused man 14,Remove:Old confused man 13,,,,,,
290,Old confused man 14,TRUE,Old confused man,Old confused man 14,,,,,Set:Old confused man 1,Remove:Old confused man 14,,,,,,
291,Pondering adult 1,TRUE,Pondering adult,Pondering adult 1,,,,,Set:Pondering adult 2,Remove:Pondering adult 1,,,,,,
292,Pondering adult 2,TRUE,Pondering adult,Pondering adult 2,,,,,Set:Pondering adult 3,Remove:Pondering adult 2,,,,,,
293,Pondering adult 3,TRUE,Pondering adult,Pondering adult 3,,,,,Set:Pondering adult 4,Remove:Pondering adult 3,,,,,,
294,Pondering adult 4,TRUE,Pondering adult,Pondering adult 4,,,,,Set:Pondering adult 5,Remove:Pondering adult 4,,,,,,
295,Pondering adult 5,TRUE,Pondering adult,Pondering adult 5,,,,,Set:Pondering adult 6,Remove:Pondering adult 5,,,,,,
296,Pondering adult 6,TRUE,Pondering adult,Pondering adult 6,,,,,Set:Pondering adult 7,Remove:Pondering adult 6,,,,,,
297,Pondering adult 7,TRUE,Pondering adult,Pondering adult 7,,,,,Set:Pondering adult 8,Remove:Pondering adult 7,,,,,,
298,Pondering adult 8,TRUE,Pondering adult,Pondering adult 8,,,,,Set:Pondering adult 9,Remove:Pondering adult 8,,,,,,
299,Pondering adult 9,TRUE,Pondering adult,Pondering adult 9,,,,,Set:Pondering adult 10,Remove:Pondering adult 9,,,,,,
300,Pondering adult 10,TRUE,Pondering adult,Pondering adult 10,,,,,Set:Pondering adult 11,Remove:Pondering adult 10,,,,,,
301,Pondering adult 11,TRUE,Pondering adult,Pondering adult 11,,,,,Set:Pondering adult 12,Remove:Pondering adult 11,,,,,,
302,Pondering adult 12,TRUE,Pondering adult,Pondering adult 12,,,,,Set:Pondering adult 13,Remove:Pondering adult 12,,,,,,
303,Pondering adult 13,TRUE,Pondering adult,Pondering adult 13,,,,,Set:Pondering adult 1,Remove:Pondering adult 13,,,,,,
304,sifu1 intro,TRUE,Sifu1,sifu1 intro,,,,,Quest_Completed:quest visit lake dojo 1,Quest_Start:quest objective learn to fight,Set:sifu1 loop,Event:visit all towns12,Quest_Start:quest meet other sifu,,,
305,Sifu2 introduces pupils,TRUE,Sifu2,Sifu2 introduces pupils,,,,,Quest_Start:quests for students 1,Quest_Start:quests for students 2,Quest_Start:quests for students 3,Set:sifu before talking to students,Event:Sifu2 introduces pupils2,,,
306,Sifu2 introduces pupils2,TRUE,Sifu2,Sifu2 introduces pupils2,,,,,Quest_Completed:quest meet other sifu,Quest_Start:quests for students 0,,,,,,
307,punching student volunteers,TRUE,Student punching,punching student volunteers,,,,,Event:lake_camera_cue32,,,,,,,
308,lake_camera_cue32_hide,TRUE,Student punching,lake_camera_cue32_hide,,,,,Quest_Completed:quests for students 1,Set_Narrator:narrator he is gone,Event:NarratorStudentPunching#Event_Action=Cue_Narrator_Dialogue,Event:student_recruit1,,,,
309,student_recruit1,TRUE,Student punching,student_recruit1,,,,,Event:student_recruit12,Event:student_recruit13,,,,,,
310,young woman sitting on ground Intro,TRUE,Student meditating,young woman sitting on ground Intro,,,,,Set:young woman on ground Before charm,Quest_Start:quest objective find charm,Event:student meditating1,Event:student meditating2,,,,
311,luck_charm1,TRUE,Tutorial,luck_charm1,,,,,Event:luck_charm_any,,,,,,,
312,luck_charm2,TRUE,Tutorial,luck_charm2,,,,,Event:luck_charm_any,,,,,,,
313,protection_charm1,TRUE,Tutorial,protection_charm1,,,,,Event:protection_charm_any,,,,,,,
314,protection_charm2,TRUE,Tutorial,protection_charm2,,,,,Event:protection_charm_any,,,,,,,
315,student meditating1,TRUE,Student meditating,student meditating1,,,young woman sitting on ground Intro,luck_charm_any,Set:young woman on ground After luck charm,,,,,,,
316,student meditating2,TRUE,Student meditating,student meditating2,,,young woman sitting on ground Intro,protection_charm_any,Set:young woman on ground After protection charm,,,,,,,
317,young woman on ground After luck charm,TRUE,Student meditating,young woman on ground After luck charm,,,,,Event:lake_camera_cue33,Quest_Completed:quest objective find charm,,,,,,
318,young woman on ground After protection charm,TRUE,Student meditating,young woman on ground After protection charm,,,,,Event:lake_camera_cue33,Quest_Completed:quest objective find charm,,,,,,
319,lake_camera_cue33_hide,TRUE,Tutorial,lake_camera_cue33_hide,,,,,Quest_Completed:quests for students 2,Event:student_recruit2,,,,,,
320,pose_fail,TRUE,Sifu3,pose_fail,,,,,Set:sculptor sifu Loop,Unprompted_Dialogue:NULL,,,,,,
321,pose_succeed,TRUE,Sifu3,pose_succeed,,,,,Set:sculptor sifu3 After Stillness,Unprompted_Dialogue:NULL,,,,,,
322,sculptor sifu3 After Stillness,TRUE,Sifu3,sculptor sifu3 After Stillness,,,,,Set:sculptor sifu3 Intro,Remove:pose_succeed,Remove:sculptor sifu3 After Stillness,Quest_Line_Strike:quest world good tent 1=2,,,,
323,sculptor sifu Loop,TRUE,Sifu3,sculptor sifu Loop,,,,,Set:sculptor sifu3 Intro,Remove:pose_fail,Remove:sculptor sifu Loop,,,,,
324,sculptor sifu3 Intro,TRUE,Villager at gate5,sculptor sifu3 Intro,,,,,Set:A man in superhero pose After,,,,,,,
325,A man in superhero pose After,TRUE,Tutorial,A man in superhero pose After,,,,,Event:mountain_camera_cue1,,,,,,,
326,mountain_camera_cue1_post,TRUE,Tutorial,mountain_camera_cue1_post,,,,,Event:mountain_camera_cue1_hide,,,,,,,
327,new_sculpture_reveal,TRUE,Tutorial,new_sculpture_reveal,,,,,Quest_Completed:quest world good tent 1,,,,,,,
328,doting mother 1,TRUE,Doting mother,doting mother 1,,,,,Quest_Start:quest world deliver food,Event:receive_dumplings,,,,,,
